Nom variable antic;Nom variable nou;Descripció variable;Any;Font;Comentaris 
Dte.;districte;Codi de Districte;;bcn.cat/estadistica;
Barris;barri;Codi de barri;;bcn.cat/estadistica;
barri_nom;barri_nom;Nom de barri;;bcn.cat/estadistica;
Població;poblacio;Població barri;2013;bcn.cat/estadistica;
"Superfície
(ha)";superficie;Superfície;;bcn.cat/estadistica;
"Densitat
(hab/ha)";densitat;"Densitat de població
(hab/ha)";2013;bcn.cat/estadistica;
"Densitat neta
(hab/ha)";;"Densitat neta
(hab/ha)";2013;bcn.cat/estadistica;
Homes;homes;Homes;2013;bcn.cat/estadistica;
Dones;dones;Dones;2013;bcn.cat/estadistica;
0 anys;_0anys;Població de menys d'1 any;2013;bcn.cat/estadistica;
1 any;_1any;Població 1 any;2013;bcn.cat/estadistica;
2 anys;_2anys;;;;
3 anys;;;;;
4 anys;;;;;
5 anys;;;;;
6 anys;;;;;
7 anys;;;;;
8 anys;;;;;
9 anys;;;;;
10 anys;;;;;
11 anys;;;;;
12 anys;;;;;
13 anys;;;;;
14 anys;;;;;
15 anys;;;;;
16 anys;;;;;
17 anys;;;;;
18 anys;;;;;
19 anys;;;;;
20 anys;;;;;
21 anys;;;;;
22 anys;;;;;
23 anys;;;;;
24 anys;;;;;
25 anys;;;;;
26 anys;;;;;
27 anys;;;;;
28 anys;;;;;
29 anys;;;;;
30 anys;;;;;
31 anys;;;;;
32 anys;;;;;
33 anys;;;;;
34 anys;;;;;
35 anys;;;;;
36 anys;;;;;
37 anys;;;;;
38 anys;;;;;
39 anys;;;;;
40 anys;;;;;
41 anys;;;;;
42 anys;;;;;
43 anys;;;;;
44 anys;;;;;
45 anys;;;;;
46 anys;;;;;
47 anys;;;;;
48 anys;;;;;
49 anys;;;;;
50 anys;;;;;
51 anys;;;;;
52 anys;;;;;
53 anys;;;;;
54 anys;;;;;
55 anys;;;;;
56 anys;;;;;
57 anys;;;;;
58 anys;;;;;
59 anys;;;;;
60 anys;;;;;
61 anys;;;;;
62 anys;;;;;
63 anys;;;;;
64 anys;;;;;
65 anys;;;;;
66 anys;;;;;
67 anys;;;;;
68 anys;;;;;
69 anys;;;;;
70 anys;;;;;
71 anys;;;;;
72 anys;;;;;
73 anys;;;;;
74 anys;;;;;
75 anys;;;;;
76 anys;;;;;
77 anys;;;;;
78 anys;;;;;
79 anys;;;;;
80 anys;;;;;
81 anys;;;;;
82 anys;;;;;
83 anys;;;;;
84 anys;;;;;
85 anys;;;;;
86 anys;;;;;
87 anys;;;;;
88 anys;;;;;
89 anys;;;;;
90 anys;;;;;
91 anys;;;;;
92 anys;;;;;
93 anys;;;;;
94 anys;;;;;
95 anys i més;;;;;
0.14 anys;;;;;
15.24 anys;;;;;
25.64 anys;;;;;
65 anys i més;;;;;
Andalusia;;;;;
Aragó;;;;;
"Astúries 
(Principat d')";;;;;
"Balears, 
les (Illes)";;;;;
Canàries;;;;;
Cantàbria;;;;;
"Castella.
la Manxa";;;;;
"Castella 
i Lleó";;;;;
Catalunya;;;;;
"Comunitat 
Valenciana, la";;;;;
Extremadura;;;;;
Galícia;;;;;
"Madrid 
(Comunitat de)";;;;;
"Múrcia 
(Regió de)";;;;;
"Navarra 
(Comunitat 
Foral de)";;;;;
"País 
Basc, el";;;;;
Rioja, la;;;;;
Ceuta.Melilla;;;;;
Estranger;;;;;
Espanya;;;;;
Alemanya;;;;;
Àustria;;;;;
Bèlgica;;;;;
Bulgària;;;;;
Dinamarca;;;;;
Eslovàquia;;;;;
Eslovènia;;;;;
Estònia;;;;;
Finlàndia;;;;;
França;;;;;
Grècia;;;;;
Hongria;;;;;
Irlanda;;;;;
Itàlia;;;;;
Letònia;;;;;
Lituània;;;;;
Luxemburg;;;;;
Malta;;;;;
"Països
Baixos";;;;;
Polònia;;;;;
Portugal;;;;;
"Regne
Unit";;;;;
Romania;;;;;
Suècia;;;;;
"Txeca,
República";;;;;
Xipre;;;;;
;;;;;
Albània;;;;;
Andorra;;;;;
Armènia;;;;;
Bielorússia;;;;;
"Bòsnia i
Hercegovina";;;;;
Croàcia;;;;;
Geòrgia;;;;;
Islàndia;;;;;
Liechtenstein;;;;;
Macedònia;;;;;
Moldàvia;;;;;
Mònaco;;;;;
Montenegro;;;;;
Noruega;;;;;
Rússia;;;;;
Sèrbia;;;;;
Suïssa;;;;;
Ucraïna;;;;;
;;;;;
Algèria;;;;;
Angola;;;;;
Benín;;;;;
"Burkina
Faso";;;;;
Burundi;;;;;
Camerun;;;;;
"Cap
Verd";;;;;
"Centreafricana,
República";;;;;
Congo;;;;;
"Congo, República
Democràtica del";;;;;
"Costa
d'Ivori";;;;;
Egipte;;;;;
Eritrea;;;;;
Etiòpia;;;;;
Gabon;;;;;
Gàmbia;;;;;
Ghana;;;;;
Guinea;;;;;
"Guinea
Bissau";;;;;
"Guinea
Equatorial";;;;;
Kenya;;;;;
Libèria;;;;;
Líbia;;;;;
Madagascar;;;;;
Malawi;;;;;
Mali;;;;;
Marroc;;;;;
Maurici;;;;;
Mauritània;;;;;
Moçambic;;;;;
Namíbia;;;;;
Níger;;;;;
Nigèria;;;;;
Rwanda;;;;;
"São Tomé i
Príncipe";;;;;
Senegal;;;;;
Seychelles;;;;;
"Sierra
Leone";;;;;
Somàlia;;;;;
Sudafrica;;;;;
Sudan;;;;;
Tanzània;;;;;
Togo;;;;;
Tunísia;;;;;
Uganda;;;;;
Zàmbia;;;;;
Zimbabwe;;;;;
"Altres països
Àfrica";;;;;
Canadà;;;;;
"Estats Units
d'Amèrica";;;;;
"Antigua i
Barbuda";;;;;
Bahames;;;;;
Barbados;;;;;
Belize;;;;;
Costa Rica;;;;;
Cuba;;;;;
Dominica;;;;;
"Dominicana,
República";;;;;
Granada;;;;;
Guatemala;;;;;
Haití;;;;;
Hondures;;;;;
Jamaica;;;;;
Mèxic;;;;;
Nicaragua;;;;;
Panamà;;;;;
"Saint Christopher
i Nevis";;;;;
"Saint
Lucia";;;;;
Salvador, el;;;;;
"Trinitat i
Tobago";;;;;
Argentina;;;;;
Bolívia;;;;;
Brasil;;;;;
Colòmbia;;;;;
Equador;;;;;
Guyana;;;;;
Paraguai;;;;;
Perú;;;;;
Uruguai;;;;;
Veneçuela;;;;;
Xile;;;;;
Afganistan;;;;;
"Aràbia
Saudita";;;;;
Azerbaidjan;;;;;
Bangladesh;;;;;
Cambodja;;;;;
Corea;;;;;
Filipines;;;;;
Iemen;;;;;
Índia;;;;;
Indonèsia;;;;;
Iran;;;;;
Iraq;;;;;
Israel;;;;;
Japó;;;;;
Jordània;;;;;
Kazakhstan;;;;;
Kirguizistan;;;;;
Kuwait;;;;;
Laos;;;;;
Líban;;;;;
Malàisia;;;;;
Mongòlia;;;;;
Myanmar;;;;;
Nepal;;;;;
Oman;;;;;
Pakistan;;;;;
Singapur;;;;;
Síria;;;;;
"Sri
Lanka";;;;;
Tadjikistan;;;;;
Tailàndia;;;;;
Turkmenistan;;;;;
Turquia;;;;;
"Unió dels
Emirats Àrabs";;;;;
Uzbekistan;;;;;
Vietnam;;;;;
Xina;;;;;
"Altres països
Àsia";;;;;
Austràlia;;;;;
"Nova
Zelanda";;;;;
Apàtrides;;;;;
Llars;;;;;
"Ocupació mitjana
(persones per llar)";;;;;
< 24 anys;;;;;
25.29 anys;;;;;
30.34 anys;;;;;
35.39 anys;;;;;
40.44 anys;;;;;
45.49 anys;;;;;
50.54 anys;;;;;
55.59 anys;;;;;
60.64 anys;;;;;
65.69 anys;;;;;
70.74 anys;;;;;
75.79 anys;;;;;
80.84 anys;;;;;
85.89 anys;;;;;
90.94 anys;;;;;
95 anys i més;;;;;
sols_total;;;;;
"Sense 
estudis";;;;;
"Estudis primaris / 
certificat d'escolaritat / 
EGB";;;;;
"Batxillerat elemental / 
graduat escolar / 
ESO / FPI";;;;;
"Batxillerat superior / 
BUP / COU / FPII / 
CFGM grau mitjà";;;;;
"Estudis universitaris / 
CFGS grau superior";;;;;
No consta;;;;;
Senseestudis_dones;;;;;
primaris _dones;;;;;
dones_Batxilleratelemental;;;;;
dones_Batxilleratsuperior;;;;;
dones_superior;;;;;
dones_No consta;;;;;
1 persona;;;;;
2 persones;;;;;
3 persones;;;;;
4 persones;;;;;
5 persones;;;;;
6 persones;;;;;
7 persones;;;;;
8 persones;;;;;
9 i més persones;;;;;
Cap menor;;;;;
1 menor;;;;;
2 menors;;;;;
3 menors;;;;;
4 o més menors;;;;;
Tots espanyols;;;;;
Tots estrangers;;;;;
Llars mixtes;;;;;
edatmitjana_totsespanyols;;;;;
edatmitjana_Totsestrangers;;;;;
edatmitjana_mixtes;;;;;
emigrants;;;;;
emigrants_Homes;;;;;
emigrants_Dones;;;;;
naixements_2007;;;;;
naixements:2008;;;;;
naixements:2009;;;;;
naixements2010;;;;;
naixements2011;;;;;
naixements2012;;;;;
"Barri de baixa
 Taxa per mil
habitants";;;;;
"Barri d'alta
 Taxa per mil
habitants";;;;;
"Total 
Aturats";;;;;
atur_menys6mesos;;;;;
atur6a12mesos;;;;;
aturmés12mesos;;;;;
atur_homes;;;;;
atur_dones;;;;;
rfbd2008;;;;;
rfbd2009;;;;;
rfbd2010;;;;;
rfbd2011;;;;;
rfbd2012;;;;;
Fins a 75 cc;;;;;
de 75 a 125 cc;;;;;
de 126 a 200;;;;;
de 201 a 250 cc;;;;;
de 251 a 300 cc;;;;;
de 301 a 500 cc;;;;;
de 501 a 750 cc;;;;;
més de 750 cc;;;;;
vehiclesTOTAL;;;;;
Turismes;;;;;
Motos;;;;;
Ciclomotors;;;;;
Furgonetes;;;;;
Camions;;;;;
Altres vehicles;;;;;
"cotxes_Menys d'un 
any d'antiguitat";;;;;
cotxes_1 any;;;;;
cotxes_2 anys;;;;;
cotxes_3 anys;;;;;
cotxes_4 anys;;;;;
cotxes_5 anys;;;;;
cotxes_6 anys;;;;;
cotxes_7 anys;;;;;
cotxes_8 anys;;;;;
cotxes_9 anys;;;;;
cotxes_10 anys;;;;;
"cotxes_d'11 a
 15 anys";;;;;
"cotxes_més de
 15 anys";;;;;
"Propi, per compra,
 totalment pagat";;;;;
"Propi, per compra,
 amb pagaments
 pendents
 (hipoteques)";;;;;
"Propi, 
per herència
 o donació";;;;;
Llogat;;;;;
"Cedit gratuïtament
 o a baix preu";;;;;
"Altra
 forma";;;;;
Fins a 30 m2;;;;;
31 a 60 m2;;;;;
61 a 90 m2;;;;;
91 a 120 m2;;;;;
121 a 150 m2;;;;;
Més de 150 m2;;;;;
1 habitació;;;;;
2 habitacions;;;;;
3 habitacions;;;;;
4 habitacions;;;;;
5 habitacions;;;;;
6 habitacions;;;;;
7 habitacions;;;;;
8 habitacions;;;;;
9 habitacions i més;;;;;
"Total amb 
calefacció";;;;;
"Col·lectiva
 o central";;;;;
Individual;;;;;
"Algun aparell 
que permet escalfar";;;;;
"Sense 
calefacció";;;;;
Amb telèfon;;;;;
Sense telèfon;;;;;
NC;;;;;
"Amb 
internet";;;;;
"Sense
internet";;;;;
Ruïnós;;;;;
Dolent;;;;;
Deficient;;;;;
Bo;;;;;
preum2_2009;;;;;
preum2_2010;;;;;
preum2_2011;;;;;
preum2_2012;;;;;
preum2_2013;;;;;
preulloguerm2_2011;;;;;
preulloguerm2_2010;;;;;
preulloguerm2_2009;;;;;
preulloguerm2_2008;;;;;
preulloguerm2_2007;;;;;
Electors_L07;;;;;
Votants_L07;;;;;
PSC_L07;;;;;
CIU_L07;;;;;
PP_L07;;;;;
ICV_L07;;;;;
ERC_L07;;;;;
Altre_L07;;;;;
Electors_L11;;;;;
Votants_L11;;;;;
CiU_L11;;;;;
PSC_L11;;;;;
PP_L11;;;;;
ICV._L11;;;;;
ERC_L11;;;;;
Altres_L11;;;;;
Blancs_L11;;;;;
Nuls_L11;;;;;
Electors_A10;;;;;
Votants_A10;;;;;
Abstenció_A10;;;;;
CIU_A10;;;;;
PSC_A10;;;;;
PP_A10;;;;;
ICV_A10;;;;;
ERC_A10;;;;;
Cs_A10;;;;;
SI_A10;;;;;
Altres_A10;;;;;
Blancs_A10;;;;;
Nuls_A10;;;;;
Electors_A12;;;2012;;
Votants_A12;;;2012;;
Abstenció_A12;;;2012;;
CiU_A12;;;2012;;
PP_A12;;;2012;;
ERC_A12;;;2012;;
PSC_A12;;;2012;;
ICV_A12;;;2012;;
Cs_A12;;;2012;;
CUP_A12;;;2012;;
Altres_A12;;;2012;;
Blancs_A12;;;2012;;
Nuls_A12;;;2012;;
Electors_G11;;;2011;;
Votants_G11;;;2011;;
Abstenció_G11;;;2011;;
CIU_G11;;;2011;;
PSC_G11;;;2011;;
PP_G11;;;2011;;
ICV_G11;;;2011;;
ERC _G11;;;2011;;
EB_G11;;;2011;;
UPyD_G11;;;2011;;
PxC_G11;;;2011;;
PIRATA_G11;;;2011;;
PACMA_G11;;;2011;;
ANTICAPITALISTES_G11;;;2011;;
UCE_G11;;;2011;;
Blancs_G11;;;2011;;
Nuls_G11;;;2011;;
Electors_EU14;;;2014;;
Votants_EU14;;;2014;;
Abstenció_EU14;;;2014;;
ERC_EU14;;;2014;;
CIU_EU14;;;2014;;
ICV_EU14;;;2014;;
PSC_EU14;;;2014;;
PP_EU14;;;2014;;
Cs_EU14;;;2014;;
PODEM_EU14;;;2014;;
Altres_EU14;;;2014;;
Blancs_EU14;;;2014;;
Nuls_EU14;;;2014;;
% 65 anys i més sols;% 65 anys i més sols;% de població de 65 anys i més que viu sola ;2013;bcn.cat/estadistica;
% 75 anys i més sols;% 75 anys i més sols;% de població de 75 anys i més que viu sola ;2013;bcn.cat/estadistica;
Índex d'envelliment 2013;Índex d'envelliment 2013;Índex d'envelliment = (Població de 65 i més anys / població de 0-15 anys) x 100.;2013;bcn.cat/estadistica;
Índex de sobreenvelliment 2013;Índex de sobreenvelliment 2013;Índex de sobreenvelliment = (Població de 75 i més anys / població de 65 i més anys) x 100;2013;bcn.cat/estadistica;
Índex de dependència demogràfica 2013;Índex de dependència demogràfica 2013;(Població 65 i més/població 16-64)x100;2013;bcn.cat/estadistica;
Habitatge  ;Habitatge  ;núm. de locals cadastrals dedicats a habitatges ;2013;bcn.cat/estadistica;
Aparcaments  ;Aparcaments  ;núm. de locals cadastrals dedicats a  cadastrals dedicats a  dedicats a aparcaments ;2013;bcn.cat/estadistica;
Comerç  ;Comerç  ;núm. de locals cadastrals dedicats a  comerç ;2013;bcn.cat/estadistica;
Indústria  ;Indústria  ;núm.de  locals cadastrals dedcictas a indústria ;2013;bcn.cat/estadistica;
Oficines  ;Oficines  ;núm. de locals cadastrals dedicats a  oficines ;2013;bcn.cat/estadistica;
Ensenyament  ;Ensenyament  ;núm. de locals cadastrals dedicats a  ensenyament ;2013;bcn.cat/estadistica;
Sanitat  ;Sanitat  ;núm. de locals cadastrals dedicats a  sanitat ;2013;bcn.cat/estadistica;
Hostaleria  ;Hostaleria  ;núm. de locals cadastrals dedicats a  turisme i hoteleria ;2013;bcn.cat/estadistica;
Esportiu  ;Esportiu  ;núm. de locals cadastrals dedicats a  activitats esportives;2013;bcn.cat/estadistica;
Religiós  ;Religiós  ;núm. de locals cadastrals dedicats a  activitats religioses;2013;bcn.cat/estadistica;
Espectacles  ;Espectacles  ;núm. de locals cadastrals dedicats a  altres espectacles;2013;bcn.cat/estadistica;
Altres usos  ;Altres usos  ;núm. de locals cadastrals dedicats a  altres activitats ;2013;bcn.cat/estadistica;
Taxa de natalitat 2014;Taxa de natalitat 2014;(total naixements/total població)X1000;2014;bcn.cat/estadistica;taxa bruta
Taxa de mortalitat 2014;Taxa de mortalitat 2014;(total defuncions/total població)X1000;2014;bcn.cat/estadistica;taxa bruta
Taxa d'immigració 2014;Taxa d'immigració 2014;(total immigrants/total població)X1000;2014;bcn.cat/estadistica;taxa bruta
Taxa d'emigració 2014;Taxa d'emigració 2014;(total emigrants/total població)X1000;2014;bcn.cat/estadistica;taxa bruta
Pensions no contributives de jubilació 2012;Pensions no contributives de jubilació 2012;Pensions no contributives de jubilació 2012;2012;bcn.cat/estadistica;
Pensions no contributives d'invalidesa 2012;Pensions no contributives d'invalidesa 2012;Pensions no contributives d'invalidesa 2012;2012;bcn.cat/estadistica;
